keyword,movieID
adventure,26510 3608 4410 163072 127198 98061 3925 81018 172637 62383 2537 6342 75805 26649 79895 5990 60737 26810 8195 115664 71745 31923 2013 26308 124404 179 85885 97938 6223 121097 43908 74530 2406 3418 2005 57951 139747 100226 128512 4571 2046 76743 7317 117368 134019 127172 51575 6582 180987 2297 3390 117444 3996 4911 50798 1028 74553 146 95163 6808 7247 2103 5582 32596 3014 187595 40851 95543 106918 88267 74789 432 3046 176051 121099 86298 148 59103 5076 116977 8965 93006 165139 8015 5361 169 6541 166526 87876 88954 1826 68848
animation,175387 7304 158388 442 80553 179133 140711 3327 93270 3660 2988 46559 3363
children,2735 96964 4886 112515 3378 91981 143458 2799 1361 8827 95377 6702 7636 486 8188 2122 6427 55112 176329 37830 2516 2515 1972 127172 26777 64010 101962 113186 96471 90809 3249 29 70293 3310 3672 279 85788 60046 162600 1350 65193 7841 1097 7141 2554 99112 89759 173925 72395 6145 56367 170697 55118 31702 4232 27328 5836 44937 8870 3676 96520 71468 104129 3708 139642 89087 1900 2762 6643 136447 1347 30820 130576 120130 31698 4109 4720 4991 167772 1734 3476 8967 4740 91690 1809 26285 307 2068 1453 86892 141890 42632 187717 69712 7930 2151 86000 2315 44840
comedy,127098 128366 128914 168846 121372 168174 86377 118930 100194 182749 128089 132888 46105 177185 175743 6122 2271 120813 167854 4012 5450 26471 71520 43708 163527 27595 27695 136445 92046 128852 71902 104644 6542 78034 42740 113225 61246 171631 107565 91784 168144 175705 2539 6100 163653 129 4740 89864 32291 96530 73431 4722 128097 88672 71668 2301 1175 84696 56908 1887 8916 8918 146986 5486 89388 892 48045 122092 159069 5466 3865 141513 2889 1895 2884 128594 3893 44195 8238 80241 98633 1767 6001 193609 6005 36477 7618 136469 174681 44889 4079 103027 51088 116718 1863 69757 2295 110281 6807
fantasy,173355 3855 127298 48394 72224 175397 4810 185033 37857 2161 62956 37830 143525 4915 161594 430 127319 4687 4446 188833 50601 7247 2736 234 2800 26630 80748 6541 159779 610 47124 26736 100397 2294 2355 3361 94959 74696 3563 2810 46850 4794 4803 26599 70521 69251 782 3499 86000 6679 61628 1264 135288 65514 2962 141544 8989 47261 656 76251 94122 485 119141
romance,909 7131 26375 39231 168492 130840 5051 3106 133712 920 617 7010 5116 3194 2894 147196 8800 109313 6342 6254 3392 6509 8266 109161 6245 2746 107771 60753 5889 127108 31923 91622 46 202 897 106648 73023 3606 5372 26237 2406 57951 3531 555 172909 4432 1066 48 5673 7050 68269 3390 3536 4285 71327 745 911 51834 102819 4310 8502 4976 95873 3501 5168 33683 54190 4836 6927 3155 26391 4736 8928 1685 103027 5378 3046 54780 4069 99853 2160 147142 45668 152037 175585 3075 6530 6858 175293 179815 116138 1380 229 100737 4506 347 74545 7069 134775
drama,425 26587 34540 139915 101973 74688 48879 92048 49524 49314 1269 111817 1757 7316 75341 4458 88129 141890 48214 3145 3824 74 159976 348 58492 7781 49220 101531 34143 81512 46559 242 7025 7165 148482 60885 62799 118985 6625 74624 90471 56788 92094 159779 58078 636 110501
action,160341 485 163072 3767 124853 3571 78626 27595 3710 179815 99005 7017 45950 7647 111 89840 32058 88129 8961 67695 2028 1359 58297 55276 39435 113862 2433 4000 109578 1920 102590 6946 159069 3986 6938 51935 26590 6387 1924 77667 3768 6584 34048 3766 50658 52462 6994 56174 106918 116718 103339 1137 37733 176051 72171 56003 7345 136564 7381 70545 59615 131656
crime,33893 86028 66544 30 4452 43921 26159 71732 8456 184257 55052 4068 133217 5888 3884 2332 47538 3900 103075 90943 171763 4889 157432 7176 44761 175585 2353 4583 46367 110591 4636 7482 3247 4218 695 5110 64231 5250 132 102760 100556 8644 1757 2561 4298 2731 7134 129250 155509 6587 2881 5568 136012 422 120466 33132 1245 139052 116419 43558 27408 7376 5668 137345 48883 608 98623 34148 7107 1459 60766 5818 42011 172591 478 6997 6157 82093 57147 98279 84392 7047 40 5573 55036 2176 2383 115569 33564 7018 2381 173 2273 6424 2931 114554 3729 155820 391
thriller,152173 84952 78218 129333 3576 160440 98296 76054 5746 58297 149334 176423 1264 1718 127323 86960 1423 56174 37733
