UserId,ItemId
0,1020 2455 1575 496 259 865 1868 2885 1281 2411 2022 331 1430 84 863 485 2977 422 465 637 505 2651 2088 2031 1063 756 2940 384 471 1770 294 968 1195 2823 682 2470 1302 719 1656 457 2464 3031 2299 167 2339 2002 545 1369 1339 780
1,2537 1023 2463 2464 1812 2350 637 1749 275 454 2940 2030 3231 3049 1715 2652 1369 1443 2971 1800 1386 2661 2738 1026 719 1193 3031 384 2845 2055 2645 1088 609 2696 115 2384 2338 2012 167 333 490 3015 976 2359 1119 1031 1185 1949 1664 770
2,1200 1034 1770 346 2652 938 2127 296 1784 1973 1295 2320 2478 706 2726 1443 2464 1868 1195 1857 814 2312 1474 1942 644 1567 2222 1193 1290 48 3052 2066 3209 2883 2696 497 719 1307 2537 2455 1292 100 417 517 1455 1871 167 1800 275 170
3,2464 2320 865 1193 1575 2726 2537 2312 275 1770 2541 1868 1443 1185 2940 1348 1474 702 2855 770 2652 1197 1784 719 1465 697 2024 1681 2463 1455 3078 945 2750 1268 1023 100 1567 18 496 609 505 2179 1812 2031 255 644 2108 333 3229 1800
4,2115 676 2193 505 2525 1203 489 1224 981 2837 3040 335 741 2845 2431 2537 458 2805 372 1206 1196 1958 2099 856 2527 629 3118 384 1167 1088 2771 471 998 2320 3142 2178 1353 288 837 1770 960 2710 1795 2232 2133 2117 2164 2174 1347 876
5,13 1430 1195 1689 1521 571 1589 167 1720 760 471 1715 1298 1988 490 751 173 919 334 2119 3159 84 847 2371 2661 397 1505 2627 2946 2031 1218 398 486 770 2456 964 2470 2002 162 2398 3229 165 3158 35 821 1001 299 1302 346 1657
6,1386 2652 465 2885 1956 517 865 1575 2937 2464 1443 3209 1185 275 2541 2875 1474 2883 2750 1195 2696 2537 1868 48 2855 2147 1681 644 719 803 2163 2398 868 2111 2217 490 1941 1088 1213 2958 2932 2351 2055 471 2976 1991 2006 1973 2428 2312
7,1868 865 1715 2525 1353 1784 1268 3237 3118 1795 1321 2474 443 2845 1567 2398 1681 1722 2193 3147 988 1000 2463 1474 1185 2551 2055 1761 2117 2966 147 426 231 2232 1421 1132 1057 1106 1170 1125 2283 2455 2306 2837 1652 234 164 1435 1444 2696
8,719 505 2455 231 3031 1268 1770 2805 3092 2320 1195 2380 783 1722 981 1614 294 3147 1958 2527 1648 714 2392 2022 2007 2312 1386 2466 2845 2902 2464 655 2124 3186 2232 465 1715 3118 1635 358 2810 2173 3079 486 2350 2821 2855 3176 2174 170
9,2455 170 706 842 1115 2971 2902 384 1614 719 1325 372 2115 1365 960 402 714 3220 2173 2006 2537 2275 3156 3142 1881 2283 2795 847 277 2444 2921 3037 2661 1156 938 1958 1200 1761 2664 294 2879 976 1730 2007 2786 1185 655 741 2070 3040
10,1185 1386 1455 1681 719 1575 275 698 2022 1868 2885 3178 1200 457 412 1956 1693 663 706 2320 2537 2039 471 1784 333 1013 2455 2940 702 3127 2855 277 770 2536 1465 2144 1648 2350 2726 2706 1195 1348 1034 1706 2299 417 384 1443 2547 1197
11,115 1402 1973 1290 2428 517 1956 2649 232 868 2478 1239 3229 2393 2080 2541 2398 2964 1443 2616 3090 1737 1920 454 959 1060 2147 2551 2044 1197 2035 398 272 3022 2696 3209 2236 1370 1643 2057 501 229 1348 2799 14 957 1811 2933 186 2384
12,938 2431 856 1197 2959 954 2602 2312 2885 1386 865 2977 358 2022 1224 2115 3209 2652 2351 1325 3241 1195 2464 2537 2855 1200 1241 471 91 465 3078 2841 2631 2940 1470 2392 3150 1861 714 458 1299 1956 589 1185 987 1868 167 1896 1812 1405
13,2431 2811 1054 856 1154 1299 938 825 1117 2957 1002 1317 1415 751 1975 319 2866 2164 2113 2196 155 1006 3210 1224 987 2631 1575 692 505 2930 3194 613 2362 1015 239 25 1094 2889 2115 1596 1895 676 1474 2129 2470 231 1470 1964 1432 2316
14,2350 2470 2885 1386 2022 100 2937 2652 2182 517 1722 2541 1197 987 1956 465 865 1239 231 275 1474 2217 1106 3241 2464 1868 2688 1818 803 2351 1213 702 2537 1195 2805 1737 868 1348 1681 471 505 405 91 1861 1941 241 1289 719 3189 1991
15,2652 1339 3241 1020 1386 91 122 954 3142 2262 856 468 2726 2811 2351 2962 2411 1165 845 1452 2182 2350 2022 938 192 987 422 2413 682 2788 1332 2431 906 2937 2866 1006 128 1462 272 2088 1474 2522 1129 1797 1846 1430 1641 1723 1991 2163
16,2885 2022 1195 1812 2652 1307 2312 384 2351 294 231 706 2464 486 2470 2455 1614 1474 2661 457 2664 1871 2206 3142 1365 2115 1325 1185 1664 2899 2977 2902 1800 3241 783 1405 2726 1119 3040 2807 1369 842 644 1656 2805 1898 2750 3176 2521 3186
17,2875 3241 100 2320 91 1474 2649 1106 517 1117 706 1722 987 2351 1371 2541 1737 231 1797 2413 2057 702 1195 2957 856 1956 2537 272 1575 1736 1991 241 1868 1465 1269 2616 2714 505 1533 2176 2474 853 2921 1348 356 1325 2179 1498 945 1071
18,1923 697 3078 2514 1835 2403 1417 2022 2031 2039 505 2831 2855 750 3032 1034 465 938 2312 1465 3142 2651 2339 1197 117 706 84 1405 968 1586 2885 2470 3229 2350 767 167 2537 1756 2652 1193 2299 329 3037 639 663 1857 830 898 918 2724
19,2537 1200 3078 719 2940 2464 1197 2470 2031 2320 2455 706 333 3142 702 783 1348 3032 1455 384 3041 1770 1193 1949 3031 294 2117 1307 490 2527 1784 2007 1812 2652 2547 3176 167 2299 938 3220 2845 1673 1195 1755 1407 2193 2024 976 745 3178
20,255 814 1200 491 1357 280 1737 2932 48 2035 2650 2551 115 2463 2171 2126 1133 3233 2776 2151 2888 1939 1498 1239 2384 767 1811 1423 2398 1875 2855 824 2603 168 2696 1078 1348 1445 1371 2652 3064 1121 497 865 1465 3257 964 2133 2986 2441
21,637 3031 2392 2193 2124 981 2525 2312 2474 2117 1722 2805 3220 1958 384 3092 2878 2455 1167 3040 1000 1353 698 2380 2306 505 2671 522 489 1325 358 1684 678 1770 1127 1409 3147 3176 3118 1866 783 1761 2476 1648 92 1170 2382 496 2320 691
22,1034 2222 296 1923 3037 589 3109 2066 1673 176 1290 277 2899 361 162 3159 1573 2757 110 307 2185 2100 331 2979 3041 1835 2483 745 494 669 1341 340 2807 1829 1307 703 545 46 1857 1237 117 1156 1376 1184 217 621 1300 1501 2664 1619
23,2805 1268 2380 712 1861 2537 505 2527 294 2193 1770 1755 2810 1048 3176 2182 1684 981 231 1715 2845 471 553 490 1213 1868 637 1558 783 333 1218 3237 719 2833 358 3040 741 384 1152 1984 2809 2885 2514 2464 2661 1195 2312 3189 2174 2855
